feedbacks,topics
"I had a MacBook Notebook , and it had absolutely no protection from viruses , spyware , malware , etc .",
My MacBook is faster than any comparable PC .,
now he mows yards so he can earn the money for the wireless internet .,
i have had my dell latitude for almost three years .,
That day !,
The speed is incredible and I am more than satisfied .,speed
"It makes sorting out all those photos on my digital camera a breeze , and organizing them by place , time taken , or sending them to an online print shop , or uploading them to Flickr or Facebook etc , is not hard at all .",
Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box .,
The macbook rarely requires a hard reboot .,hard reboot
"They told me to reprogram the computer , and I did n't need to do that , and I lost pictures of my oldests first 2 years of her life .",
So glad I decided to upgrade !,
When I am at Starbucks between clients I get full bars on my HP and 1 bar on my Eee PC .,
I use it now more than I even thought I would .,
This is what I call a good after sales service .,after sales service
My previous purchases were with Dell and HP .,
"The Macbook starts fast , does n't crash , has a fantastic display , is small and light ( I have the 13.3 '' model ) , and is n't always complaining about updates , lost connections , errors , blue screens , etc .","starts, display"
I had the computer for a full year and it was a new computer .,
I 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off .,"plastic piece, usb port wires"
"EITHER WAY , THE KEYBOARD IS UNSATISFACTORY .",KEYBOARD
I am glad I did my research .,
Great pick for portability and affordability .,"portability, affordability"
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great .","twin packing, functions"
"I first purchased this Dell model `` 1764 '' on April 6 , 201",
"I went from BestBuy to Dell , Windows to Apple .",
- Estimated time to fix it : 10 working days or less .,
"Those moments in thime where you want to throw something against the wall ? Yeah , I wanted to throw that lap top out the window and light it on fire .",
"I wish iWork or MS Office came with the Mac , but MS Office does n't even come with most pc laptops .","iWork, MS Office, MS Office"
"The OS is also very user friendly , even for those that switch from a PC , with a little practice you can take full advantage of this OS !","OS, OS"
It is extremely user friendly and intuitive .,
My friends or children use that when they need to borrow the Net = ) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA !,
"And it did n't show up on the reciept , I do n't know how we ordered it online !",
"Then HP sends it back to me with the hardware screwed up , not able to connect .",hardware
The biggest problem is that the box had no instructions in it .,instructions
I am totally satisfied with my little toshie !,
"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and creating presentations .","web browsing, uploading photos, watching movies, creating presentations"
I think this will happen to any new version of computer/ phone released and I need to wait for the next set of updates to have all of this fixed .,
Awesome laptop and the perfect size to carry around in college .,size
"Treat yourself to a more expensive , long - lasting laptop of quality like a Sony , Apple , or Toshiba .",quality
A key contributor that led me to Mac is the art aspect .,art aspect
I do not recommend this company or their products ! ! ! !,
I 've been impressed with the battery life and the performance for such a small amount of memory .,"battery life, performance, memory"
Now they are believers in the product .,
"Long story short , since I experience so many problems with my laptop every since I bought it from day one , I did n't ask for a new laptop or a refund of what I pay for a crapy laptop , but just an extension of my laptop warranty for another year , they made a big deal of out that and after so many calls and complaints about their products and services , they finally gave in .",warranty
They sent it back with a huge crack in it and it still did n't work .,work
"cosmetically , the only thing they changed was 2 of the Function keys at the top .",Function keys
"This computer was awful , I would never recomend it to another person .",
You wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .,virus program
They are asking me to ship the unit back to fix it at their site .,
"Still , this laptop is perfect for all day use at school and work .",
after trying to get some help he disconnected on me .,
Screen is crystal clear and the system is very responsive .,"Screen, system"
"* 2 weeks after giving the computer for repair* - Called headquarters , they report that they have not looked at it yet but it is `` on the top of the stack '' .",
I am taking back today .,
"I was ready to take it back for a refund , but the Geek Squad camed through and pointed me in the right direction to get it fixed .",Geek Squad
"It is also very lightweight , making transporting this computer very easy .",transporting
The apple macbook pro nothing to say butprofessionally great and outstanding .,
They said it was a computer error on this type of computer .,
"* IF YOU ARE LOOKING FOR A GOOD LAPTOP , THIS IS NOT IT !",
They are by far the easiest systems to actually learn about computers with .,systems
I 've always owned a PC and decided to try a MacBook to see what it 's all about .,
My kids ( and dogs ) destroyed two power cords by pulling on them .,power cords
"The only thing that can be updated is the video , other than that you 're all set .",video
"I should have kept my big , old HP .",
"Fully charged , the MacBook Pro can last about five hours unplugged .",charged
My hp G60- 244dx died after only 16 months .,
Just a bunch of idiots who 's English as a 5th language is forced at best .,
"Yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in use .",use
The built in camera is very useful when chatting with other techs in remote buildings on our campus .,built in camera
i love ths notebook .,
I had less problems .,
"It even has a great webcam , and Skype works very well .","webcam, Skype"
I 'm glad I made the choice to switch and buy this MAC .,
What can I say .,
I was very excited because this was my first personal computer and I was purchasing it with my OWN money I had recieved from graduation presents .,
Cords coming out the right for power plus cords coming out front for headphones / mic plus network connection on left make for a very messy setup with cords going every direction .,"Cords, power, cords, headphones, mic, network connection, setup, cords"
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming .,size
Could n't keep a page up you were working on !,
"I realize that not every unit has this issue , but the ones that do can not be repaired .",
The laptop was returned but audio issue was not fixed .,
"It is everything I 'd hoped it would be from a look and feel standpoint , but somehow a bit more sturdy .",look and feel standpoint
We used PC products - it seemed simpler to continue with the same thing .,
I returned it to Best Buy on the ninteenth of April .,
A tip for people looking into this computer : DO NOT BUY IT save up a bit more money and buy a computer that will last .,
i must keep it plugged in at all times because it will not keep a charge for longer than four minutes .,charge
"Sony , Acer , Dell , Packard Bell and Toshiba .",
"I was looking too closely at the other performance specs and while comparing , I took it for granted that these features were standard .","performance specs, features"
This is a great computer .,
It is easy to use and lightweight .,use
"I have had several machines over the years , both for personal and business use .",
I can barely use any usb devices because they will not stay connected properly .,usb devices
"The screen takes some getting use to , because it is smaller than the laptop .",screen
"Great product , very easy to use and great graphics .","use, graphics"
"And , if you are going to deal with HP be careful .",
"Do n't waste their money , save it and but a mac .",
I do n't really have a complaint .,
"I 'm a professional consultant , and a client needed work on her machine .",
", which Apple does n't offer , is why I bought my MacBook at Best Buy .",
"If you had PC for four years I can almost gaurentee that something would of gone wrong by now , maybe even forcing you to replace your entire computer .",
Since I 've had this computer I 've only used the trackpad because it is so nice and smooth .,trackpad
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of , like my cad programs .","windows, bootcamp, programs, cad programs"
I was looking for a mac which is portable and has all the features that I was looking for .,features
Perfect trifecta !,
"Now the screen is going darker , darker , darker .",screen
"A coupla months later , they change my hard drive .",hard drive
It is speedy when connected wirelessly to any network regardless if the connection is weak or not .,connection
I highly recommend this computer for students looking for a solid machine to get them through college .,
By Air sounds more like by truck to Me .,
This laptop looked brand new and was shipped very quickly .,shipped
Do not buy it !,
This laptop serves all my needs .,
"I do n't like this company nor the toshiba brand , and I 'll never buy another one because I 've put more into it then it is worth .",
Overall this laptop is great .,
The ease in which you set everything up is such that a child could do it .,
"In fact , somehow ( and I never opened it up ) some specks of dust or something got inside the screen and are now there permanently , behind the front of the screen , in the way of the display .","screen, screen, display"
"For me , five stars is not enough .",
not the day received .,
I purchased an HP right after my high school graduation .,
And that probably explains why I 've already had my SATA controller go bad within a year of buying it .,SATA controller
The company sent me a whole new cord overnight and apologized .,cord
It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz .,Core2 Quad
I have found a lot of online sources to help me but think that I would have learned a lot quicker if I would have taken the class .,
Using this machine is like a mild form of torture .,
I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it .,
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials .,
"Overall , it 's ok .",
"Besides the great look , it is a great machine .",look
"As usual at customer service center , she asked me to hold for a moment while she went to the back - office and compare it with other same model netbooks and discussed it with her colleague ( I could see them ) .",customer service center
Support has been lackluster and now I just want a refund .,Support
"They are wonderful , but very dangerous when it comes to emitting heat .",
"She told me flatly , `` It 's like that one .",
first i have been searching for long time before i decided to get mac .,
Hard disk - The new editions gives you more hard disk space ( 500GB instead of 320GB ) but time has taught me never to trust an internal hard disk .,"Hard disk, hard disk space, internal hard disk"
"Also , macbooks come with much more features which are so cool !",features
"( I found a 2GB stick for a bit under $ 50 ) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours , or at the hotel taking care of some last minute details and documents .",system
"At first , the computer seemed a great deal - - seemingly high - end specs for a low , low price .","specs, price"
I 'm new - just switched from years of PC frustration .,
I hate the display screen and I have done everything I could do the change it .,display screen
Im very happy with this computer !,
Few viruses to catch ;,
`` > iPhoto is probably the best program I have ever worked with : easy and convenient .,iPhoto
The netbook is easier for me to take to bed and carry around with me .,
"It was a great laptop , ran great and was really fast .",ran
"Before i bought my new i5 , I did my research for about 2 weeks and determined to move for HP to Apple for reliability , dependable , and long lasting operations .",
It still heats up like mad and I am unable to use it with the computer directly on my lap for more than five to ten minutes at a time .,
After that the said it was under warranty .,warranty
wonderful features .,features
another problem .,
I love a `` pc '' but I was ready for a change and tired of the windows system .,windows system
"In November my computer messed up entirely and would n't power on after intalling a Windows update , I had to have my HD flashed and lost EVERYTHING on it , including my school assignments and irriplaceable pictures that were only in digital format and several other things , when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history .","Windows update, HD, drivers"
"This netbook is a perfect supplementary computer to another laptop or desktop ( my wife and I have another laptop ) , or if you are a user who uses the computer for simple tasks .",
"The sound is a bit quiet if you 're on a plane , this can easily be overcome with a decent pair of head phones .",sound
The first fell apart right after the 1 - year - warranty .,1 - year - warranty
I have had the luxury ( sarcasm ) of owning 2 of these laptops .,
"The screen graphics and clarity , and sharpness are great .","screen graphics, clarity, sharpness"
Gave phonenumber .,
It would take up too much time to do reaearch for my papers and I would be up hours- just because the computer was too slow .,
I have had no luck with staples or HP to resolve this problem .,
I had it four months when my disc drive refused to open .,disc drive
"Well I spilled something on it and they replaced it with this model , which gets hot and the battery does n't make it through 1 DVD .",battery
"It bluescreened on me without any warning , running simply basic Chrome .",Chrome
the laptop preformed pretty well .,preformed
Windows also shuts the computer down for no reason without warning .,Windows
Very happy .,
Highly recommend for daily use .,
This is not a serious gaming laptop or a serious media machine ;,gaming
I also liked the glass screen .,glass screen
"Once open , the leading edge is razor sharp .",leading edge
"been a PC user for many , many years .",
With the macbook pro it comes with free securitysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails .,securitysoftware
"Upgrading from Windows 7 Starter , thru Windows 7 Home Premium , to Windows 7 Professional was a snap ;","Windows 7 Starter, Windows 7 Home Premium, Windows 7 Professional"
It is sleek and lightweight and charges quickly when needed .,charges
The Macbook is a fantastic laptop .,
My review mainly talks about the difference I have felt between an early 2011 and late 2011 mac book pro .,
"Prior to this computer , I owned a PowerBook G4 for 6 years ( quite a long time for a laptop ) .",
This computer was so challenging to carry and handle .,"carry, handle"
"Now mainboard is broken , have to wait for a new one .",mainboard
I bought mine from Apple Store the day it was released as Amazon did n't have it yet .,
It does not even have the software to play a dvd now .,software
There is a little indent to help open it - but good luck with that .,
It 's also fairly easy to use the Operating System .,Operating System
Not to mention sometimes the whole charger unit will decide not to work entirely .,charger unit
And having to deal with the company has been a even worse nightmare .,company
"It had a seventeen inch screen which I wanted , but I did n't realize at the time it would be such a monster !",seventeen inch screen
Its still going .,
Dell wanted to charge us for everything everytime I called them with a problem .,
It 's A MAC ! !,
What a great little laptop .,
"So I called customer support ( which is good too ) and they went through it and it is just a safety feature and it does not affect performance at all , I just chose to hide the message .","customer support, safety feature, performance"
Needless to say a PC that ca n't support a cell phone is less than useless !,
I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all .,recovery disk
"The Mac Snow Leopard O / S is extremely easy to use , although very different than Win XP , Visa or Win7 .","Mac Snow Leopard O / S, use, Win XP, Visa, Win7"
"The laptop is relatively simple to use , though I bought Macs for Dummies , which is well worth $ 2",use
They removed them and returned the computer to me .,
"After years of occasionally pulling my hair out fighting computer viruses , a good friend convinced me it was time to go the Apple route .",
It really is perfect for work and play .,"work, play"
This computer was awful !,
iPhotos is an excellent program for storing and organizing photos .,"iPhotos, program"
The ease of use is wonderful .,use
"Even doing so , the hinge may just be slightly tightened only .",hinge
"Screen is awesome , battery life is good .","Screen, battery life"
Somehow the system clock got messed up after reboot .,system clock
I would recomend this acer to parents and grandparents it can really help them in school .,
Apparently they 're not special anymore .,
Asked the customer service rep .,customer service rep
"When calling Dell for help , reurn , or a new computer they were not useful and left it up to myself to figure out what to do with it .",
"One drawback , I wish the keys were backlit .",keys
Comfterbale to use light easy to transport .,"use, transport"
It 's so bad that I 'm thinking I only got half a battery or something .,battery
I bought for my son in the 2nd grade .,
I thought the price was great for the specs .,"price, specs"
"I have found it very easy to use , very imformative , wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs .","use, features, programs"
I can not even imaging going back to a PC after using this wonderful computer .,
Delivery was early too .,Delivery
It 's still beautiful and has better color reproduction than I could ever expect from a notebook .,color reproduction
I was n't really sure I wanted to spend that kind of money !,
"Right out of the box , this little netbook did everything I asked of it , including streaming the everyday video you 're bound to encounter checking mail and websites ( my biggest complaint previously ) .",
"To list a few : They tend to get hot enough to cause 3rd degree burns , as well as ignite any flamable material if near the part that happens to heat up .",
"It lasted for many years of travel , kids and abuse and if I fired it up today , it would work .",
"It does n't have a lot of frills , but I did n't need any , and being able to buy what I needed , and not more than I needed was very important .",
"It 's not a wear - and - tear issue , not due to user carelessness and most importantly , they CA N'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome .",service
"I do n't have stupid pop up windows ( even when I have pop ups blocked ) , I do n't have to wait 5 minutes for a webpage to download , and best of all I can run all the web programming software I need to use all at once without slowing me down .","pop up windows, pop ups, web programming software"
I should have spent an extra hundred bucks and got a full sized computer .,
The program came with the computer and works beautifully .,program
"After they found no other way , they told me to courier it to them ( since they do n't allow the use of the post office ) at my expense , and sent me a 4 page list of very specific packaging instructions to follow or it would n't be covered .",
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it 's a snap .,syncing
Needless to say I told them No and have a nice day and hung up !,
"The screen is huge and coloful , but no LED backlighting .",screen
This computer is absolutely AMAZING ! ! !,
"I upgraded it 's RAM to 2GB , I am very happy with it .",RAM
"My power supply cord developed exposed wires within the first year of ownership , so it was covered by the Applecare warranty plan .","power supply cord, Applecare warranty plan"
The `` abuse '' is that I pushed the power plug in too hard .,power plug
Supplied software : The software that comes with this machine is greatly welcomed compared to what Windows comes with .,"Supplied software, software, Windows"
"I am most impressed with the programming , including the iPhoto .","programming, iPhoto"
This is a review of windows vista system .,windows vista system
"Good keyboard , long battery life , largest hard drive and windows 7 .","keyboard, battery life, hard drive, windows 7"
You just get a trial version either way .,
"When I am next to my router on my HP I get full service , on my Eee PC I get 3 bars .",full service
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","battery life, web browsing, word editing, gaming, movie playing, battery life"
Bought with a credit card .,
"Once you go Mac , you ca n't go back !",
great machine if you want to drop the cash for one .,
Can listen to my music and watch my videos with ease and with a great display .,display
However the frozen screens kept happening .,screens
I was given a Mac as a birthday present and could n't be happier with it 3 years later .,
lots of preloaded software .,preloaded software
The macbooks are small enough to be very portable yet hold tons of information and performance .,performance
The only downfall is a lot of the software I have wo n't work with Mac and iWork is not worth the price of it .,"software, iWork, price"
I took it back for a full refund .,
I baby my electronics so I know for a fact it was defective and not anything that I did to it .,
Emachines says they 're waiting for a part and refuses to replace entire unit .,
We 'll save our money to replace it with a Mac again !,
I swear they design these things to go to crap after a year so you are stuck and have to buy a new one .,
I never have had a good result with this computer .,
Again I sent it back and they replaced the motherboard and some fan inside .,"motherboard, fan"
"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .","representive at Microsoft, system, XP"
LOVE IT LOVE IT LOVE IT !,
"They do n't seem to be susceptible to viruses , which is one less big thing to worry about when it comes to computers .",
"I bought it for my mom and she reports that the battery life lasts all day for her , it 's very lightweight , and the response for the computing she 's doing ( Internet focused activity : mail , research , etc . ) is excellent ;","battery life, response, Internet focused activity"
This laptop rocks ( only wish it could run SolidWorks CAD - which Apple does n't support ) !,
"By the time I was finally able to get a work order to get it fixed I had been without my computer for almost a week while I was an Online College Student , so it was very inconvenient and I had to send it off and be without it while it was being fixed also .",
"The computer did what it was NOT supposed to do , and I did n't know what to do ... .",
It meets all my needs for work and pleasure while traveling .,
I love the keyboard .,keyboard
"After 2 months of complaints , Asus finally sent the right power supply to my techies .","power supply, techies"
Received all four in good order ;,
A cheaper price should not equal a `` cheap '' product .,price
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system .","windows, Windows 7, Vista, Vista"
When it come time for warranty service to Toshiba you do n't matter .,warranty service to Toshiba
But sadly the replacement froze - up while updating the BIOS again and shut down and would not turn back on .,BIOS
NOT WITH APPLE .,
It 's so nice to look at and the keys are easy to type with .,"look, keys"
falls into the case .,
Runs smooth and quick .,Runs
The Toshiba Satellite laptop is DESIGNED to fail !,
It is easy to navigate and update programs .,"navigate, update programs"
Look up recipes and keep it on the kitchen counter while I cook .,
I simply got tired of a bad computer like windows with its constant freezing and anti- virus .,
It would not let me connect to my Wifi system where I lived .,
I would Highly recommend this MacBook .,
The machine itself is alright .,
Second HDD cover has walls inside that need to be broken if you what to install one .,HDD cover
"Granted , it 's still a very new laptop but in comparison to my previous laptops and desktops , my Mac boots up noticeably quicker .",boots up
"Windows 7 Starter is terrific ( no you ca n't change the background ) but I do n't need to , I use it just for school work .",Windows 7 Starter
I have had it for almost four years now and I have only had a few problems with it .,
Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop .,external harddrives
"Stupidly , mind- numbingly slow- - then I found it can only be loaded with 2GB * maximum* .",
"while the keyboard itself is alright , the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons .","keyboard, plate, mouse command buttons"
"The first one I had was a 2006 model , not the Pro .",
I had to wait 3 weeks to get it back and it still is not working properly .,
"This purchase opened me to the world of Macbooks , and I am impressed with the intuition of the design , the beauty of the product , and the excellent technological advances associated with it .","design, beauty"
I lost two items I was working on until I figured out what was happening .,
"I wish it had a webcam though , then it would be perfect !",webcam
They were able to set- up with labtops themselves within a few minutes .,
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it .,software
The switchable graphic card is pretty sweet when you want gaming on the laptop .,"switchable graphic card, gaming"
"Its small enough where I can take it pretty much anywhere , but still has a big enough screen to get everything done .",screen
They only stay charged a little over an hour .,charged
it is an amazing image and it too is holding up quite nicely to little hands grabbing the back of my laptop .,
The notebook would not turn back on again .,
So this review might be a tad bit bias .,
He gave me this PC about 3 years ago and up to this point im still sitting here using it .,
Another two weeks later and it was back in my possession .,
"Mine came at $ 1,700 w / o a DVD burner ( ! ) .",DVD burner
Both my husband and I have this model Toshiba .,
I was psyched .,
"This is likely due to poor grounding and isolation between the components , and I 'm hoping that it can be fixed with a ground loop isolator , but I still expected better product quality for this price range .","components, ground loop isolator, quality, price range"
"I have never really been big on downloading anything so I was n't too worried about getting a virus , plus I thought I was protected by Norton .",Norton
"* 4 weeks after giving the computer for repair* - Annoyed at MacHouse Amsterdam , decided to send complaint email to Apple .",
It has everything I would need for a home computer .,
I fine Apple MC373LL/ A 2.66GHz 15 '' Macboook Pro Notebook meets all my needs for a laptop computer when on the go .,
"I have never had any issues or problems with my MacBook Pro so far , and it is still as fast as it was when I first bought it .",
The touch pad is among the best .,touch pad
"In due course , I 'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash .",hard disc
"I use this for my tutoring business , and since I 'm always bouncing from student to student , it is ideal for portability and battery life ( yes , it gets the 8 hours as advertised ! ) .","portability, battery life"
i can use it for all of my needs .,
"As of a couple weeks ago the middle portion of the laptop from top to bottom , , , about 4 inches across is hardly visible .",
"the headphone and mic jack are in front of touch - pad making the touch - pad hard to use when using headphones / mic , not to mention the laptop was designed for right handed person .","headphone, mic jack, touch - pad, touch - pad, headphones, mic"
Wasted me at least 8 hours of installation time .,installation time
I love how easy every thing is to do on my Apple products .,
Peformance is good for the price .,"Peformance, price"
"The operating system and user interface is very intuitive , and the large multi - touch track pad is amazing .","operating system, user interface, multi - touch track pad"
The battery is really long .,battery
But you must get the 15 inch .,15 inch
"Only issue is that it is a little slow , and I 'm fixing that by adding more RAM .",RAM
There are differences that you need to know and take time to learn .,
I spent alot of money on this product and its been a nightmare .,
and if u did .,
I 'm definitely not hard on laptops and guarantee 100 % that no liquid has touched this machine in my presence .,
"It is super fast , and always loads .",
You 'll need to upgrade and pay a little more for them .,
At 16 months it started shutting off after only 5 or 10 minutes .,
"The screen is a little glary , and I hated the clicking buttons , but I got used to them .","screen, clicking buttons"
"I was very worried about making the two compatible- but literally , it was so simple I was almost worried that I was doing something wrong .",
It WORKS !,
But the biggest pain is that tech support is not available 24 / 7 .,tech support
"Do I like the computer ? Well , other than not getting viruses , I guess it is OK .",
"luckly i had a student task force able to help , or else it would have crashed within the first year .",
The So called laptop Runs to Slow and I hate it !,Runs
My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days .,work
"My computer froze on several occasion , had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all .",buttons
"For the same price , you get a lot more in the Asus ... .1920x1080 res .",price
"But when I received my replacement , I made BOTH recovery DVDs ( 4 ) , and a driver / application DVD .","recovery DVDs, driver / application DVD"
THIS is what a laptop is supposed to be .,
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria .,carry
I had the staff telling me older version did not make the fan noise cause it is a `` different '' computer .,"staff, fan noise"
5 ) Cut my losses and sold it for parts,
"They say it could be the motherboard again , but Dell",motherboard
The battery life is great .,battery life
"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !","30 '' HD Monitor, screen"
"Although my model was listed as recalled , HP denied my claim .",
"Luckily , Dell said they would replace my laptop with a new one , but instead I got a refund and bought a mac .",
Images can be multi- selected and viewed swiftly or in slideshow mode .,
Dell Latitude d620 is not a reliable machine .,
"It 's graphics are n't bad at all , for the lower end of the MacBook Pro spectrum , easily capable of running StarCraft II and other games with comparable graphics .","graphics, graphics"
I love it so much .,
I was a little weary at purchasing another 13 '' macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around .,graphics cards
I bought this laptop and found its TAB is not functioning .,TAB
It has a faster processor and more ram .,"processor, ram"
Very fast and efficient !,
Other Thoughts : Do not purchase this product .,
The paint wears off easily due to the keyboard being farther back than usual .,"paint, keyboard"
The battery life also does n't keep up with the claim but still I think macbook is much ahead from the rest of the pack .,battery life
this is one of the reasons I purchased it .,
i love to use it it is esay and light .,
"I did a review on it , its awesome .",
Apple care included .,Apple care
I would recommend anyone to buy from pcconnection express .,
"One suggestion I do have , is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC .",Microsoft office for the mac
- I propose that they can just swap the hard drives .,hard drives
"There is no cd drive on the computer , which defeats the purpose of keeping files on a cd .",cd drive
I did an internet search and this is a very common problem with this laptop .,
returned it .,
"My wireless provider confirmed my home internet is fine , and any connections I turn on should work .",
I would never tell anyone to buy one either .,
I 'm so glad I purchased a Mac and not another PC ! ! !,
I could not even put my entire music collection on this garabage .,
Product support very poor as each phone call costs me long distan,Product support
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag .,"webcam, keyboard, carry"
None of the techs at HP knew what they were doing .,techs at HP
"It has many great programs , such as ILife , iPhotos and others .","programs, ILife, iPhotos"
I 'm Very disappointed in Dell .,
this laptop is durable and it is easy to travel with .,
"Before we got this laptop , had a compaq pasaro for 5 years with no problems .",
"Also , I have alot of trouble with it getting very hot , and not even sitting on anything to make it hot .",
This computer is the ideal college companion .,
"If you already own a 2009 , 2010 , or early 2011 model , you should wait until the next update .",
I have been very pleased with the performance of this laptop .,performance
Amazing machine .,
Seriously considering a larger laptop to replace the Dell,
They are so realistic I am just speechless .,
The display is awesome .,display
Do n't waste your money !,
Amazing Quality !,Quality
It has a overheating issue - nearly to the point of being dangerous .,
"Although the price is higher then Dell laptops , the Macbooks are worth the dough .",price
I am very Happy !,
"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .","antivirus software, firewall"
"I bought a cordless mouse for it , but do n't always take it out ;",cordless mouse
Really like the textured surface which shows no fingerprints .,surface
The first time it crashed was maybe going on a year and a half of having it .,
But I do n't see it as a problem .,
For the price and what I get out of it has exceeded my expectations .,price
it has had some problems .,
I looked around and based off my price / features comparison from a brand I trusted I landed here .,"price, features"
"Laptops are usually used on the go , so why not give you a better battery ?",battery
"With all the goodies inside this machine , it is a value .",
Will probably never buy a HP again .,
I bought a protector for my key pad and it works great : ),"protector, key pad"
"Okay , let 's just start out by saying I am in no way a computer techy .",
"I know that ASUS is known for making motherboards , but this is the worst computer experience that I have ever had .",motherboards
This worked just fine .,
"With all the programs that came with it , such as iLife and iWork , I was set from the very beginning .","programs, iLife, iWork"
Plus it is small and reasonably light so I can take it with me to and from work .,
This computer had exactly the specifications I needed .,specifications
"Unfortunately , the laptop I purchased was also a Dell and again , I have to say i hated it .",
After 20 - 30 min the screen of the notebook switched off .,screen
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself .,"power supply, power supply"
HP refused to give me a new one and Wal Mart refused to take it back .,
"High price tag , however .",price tag
without having to have extra equipment and/ or complicated routes to take to be able to do so .,
So what if the laptops / mobile phones look chic and cool ? The after sales support is terrible .,"look, after sales support"
"Well , I started using Google Chrome , which is a little better , but it freezes too sometimes .",Google Chrome
"Which is what I did , check out my ACER 5517 !",
`` I 've had it now about 2 months and absolutely LOVE IT .,
I 've only had mine a day but I 'm already used to it ...,
"In the three years I 've had my MacBook Pro , I have never had a virus on my computer , and I do a lot of work on the internet .",
"Toshiba is a great brand , even though I have n't had it for a long time , I am very happy with it !",
"It is easy to use , its keyboard easily accommodates large hands , and its weight is fantasic .","use, keyboard, weight"
"My daughter uses it for games , email , facebook , pictures and music .",games
Another thing I might add is the battery life is excellent .,battery life
"It has far exceeded my expectations for power , storage , and abilitiy .","power, storage, abilitiy"
It 's a great product for a great price !,price
I fell in love with the hp pavillion and that was my replacement and now I could not imagine going back to an acer at all .,
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard .,"keyboard, keyboard"
"I bought this netbook for traveling , and it 's great - light , functional , and meets my needs .",
I 'll stick to Tashiba .,
I had never owned a Mac before ;,
The computer would not ever cut back on .,
"They 're not safe , they 're not durable , they just a worthless .",
I do not know for sure .,
I had a toshiba for 10 years .,
"The internet was locekd and froze every time it was trying to be used , and the command prompt would not work at all .","internet, command prompt"
But the arm velcro is torn after one use .,arm velcro
I definitely will buy a Mac again if and when this computer ever fails .,
keys are all in weird places and is way too large for the way it is designed .,"keys, designed"
It drives me crazy when I want to download a game or something of that nature and I ca n't play it because its not compatable with the software .,software
This computer I used daily nice compact design .,design
I 'll wait and save up for a new one .,
I bought it to use in college and it is perfect .,
"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .","hard drive, motherboard"
The backlit keys are wonderful when you are working in the dark .,backlit keys
The Toshiba laptop I am using is easier to use than most I have tried .,use
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET !,PRICE
It has just enough RAM to run smoothly and enough memory to satisfy my needs .,"RAM, memory"
I will never purchase a HP again ever .,
"I burned my leg , after lifting it from my desk , and for less than 5 second putting it on my lap to clean my coffee table , so I can place it there .",
The only bad part is the size / weight .,"size, weight"
We figure that after everything HIS pc actually ended up costing $ 350 more than my original Mac .,costing
